Species,Country_of_Origin,Number_of_Bags,Bag_Weight,Harvest_Year,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,BitterSweetness,Mouthfeel_Body,Uniform_Cup,Clean_cup,Blance,Cupper_Points,Total_Cup_Points,Moisture,Category_one_Defects,Quakers,Color,Category_Two_Defects
Arabica,Uganda,1,60,2012.0,Washed / Wet,8.25,8.0,7.83,8.08,10.0,8.0,10.0,10.0,7.92,7.92,86.0,0.1,0,0.0,Blue-Green,0
Arabica,Ethiopia,300,6,2009.0,,7.75,8.08,8.0,8.25,10.0,8.0,10.0,10.0,8.0,7.92,86.0,0.01,0,0.0,,4
Arabica,United States (Hawaii),1,2,2009.0,,8.33,8.17,7.75,8.0,10.0,7.75,10.0,10.0,7.83,8.17,86.0,0.0,0,0.0,,0
Arabica,Guatemala,80,69,2016.0,Washed / Wet,7.92,8.08,7.92,8.08,10.0,8.08,10.0,10.0,7.83,8.0,85.92,0.1,0,1.0,Green,3
Arabica,Uganda,1,60,2013.0,Natural / Dry,8.17,8.17,7.92,8.08,10.0,7.83,10.0,10.0,7.75,8.0,85.92,0.12,0,0.0,Green,0
Arabica,Colombia,275,70,2013.0,Washed / Wet,8.0,8.0,8.0,8.17,10.0,7.83,10.0,10.0,8.0,7.92,85.92,0.0,1,0.0,Blue-Green,0
Arabica,Panama,37,60,2017.0,Washed / Wet,8.0,8.0,7.92,8.08,10.0,7.83,10.0,10.0,8.0,8.0,85.83,0.08,0,1.0,Bluish-Green,0
Arabica,Ethiopia,320,60,2014.0,Washed / Wet,7.83,8.08,7.92,8.08,10.0,8.0,10.0,10.0,7.92,8.0,85.83,0.1,0,0.0,Green,4
Arabica,Guatemala,150,1,2012.0,Washed / Wet,7.83,8.0,8.0,8.17,10.0,7.83,10.0,10.0,8.0,8.0,85.83,0.12,0,0.0,Green,3
Arabica,Guatemala,275,1,2012.0,Washed / Wet,8.0,8.0,7.83,8.33,10.0,7.83,10.0,10.0,7.83,8.0,85.83,0.1,0,0.0,Bluish-Green,1
Arabica,Ethiopia,320,19200,2017.0,Natural / Dry,7.83,8.0,7.83,8.17,10.0,7.92,10.0,10.0,8.0,8.0,85.75,0.09,0,4.0,None,7
Arabica,Peru,280,2.5,2013.0,Washed / Wet,8.0,8.0,8.0,8.08,10.0,7.92,10.0,10.0,7.75,8.0,85.75,0.1,4,0.0,Green,6
Arabica,Papua New Guinea,7,60,2012.0,Washed / Wet,8.33,8.42,7.83,8.33,10.0,8.0,9.33,9.33,8.25,7.92,85.75,0.12,0,0.0,Bluish-Green,1
Arabica,El Salvador,275,2,2013.0,Washed / Wet,7.92,8.17,8.0,7.92,10.0,7.75,10.0,10.0,7.83,8.0,85.58,0.1,0,0.0,Blue-Green,3
